epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.658,0.11589,454.792,0.00013,0,0,0,0,0,324.364,0,0.0002,0.0002,0.0002
2,473.784,0.06821,420.32,0.00018,0,0,0,0,0,319.641,0,0.00040614,0.00040614,0.00040614
3,694.81,0.31719,386.496,0.00045,0,0,0,0,0,314.22,0,0.00059776,0.00059776,0.00059776
4,911.494,0.3479,345.833,0.00039,0,0,0,0,0,299.134,0,0.00077486,0.00077486,0.00077486
5,1124.6,0.38801,302.41,0.0007,0,0,0,0,0,271.428,0,0.00093744,0.00093744,0.00093744
